frame,detector,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps,x_bottom,center,line_pixels,error_direction
206,THRESH,left,0.8267,-4.6081,61.32,48.0,0.0,0.0,96.0,17.5,292.27,160.00,1929,RIGHT
207,THRESH,left,-35.2063,-16.8473,0.21,33.1,0.0,66.1,0.0,18.3,-5473.00,160.00,7375,LEFT
208,THRESH,left,-43.7076,-27.5915,0.17,33.1,0.0,66.1,0.0,17.8,-6833.22,160.00,8672,LEFT
209,THRESH,left,-28.2120,-27.8397,0.27,33.1,0.0,66.1,0.0,17.3,-4353.92,160.00,8969,LEFT
210,THRESH,left,-28.6394,-28.1596,0.27,33.1,0.0,66.1,0.0,16.8,-4422.30,160.00,8765,LEFT
211,THRESH,left,-27.4865,-27.8903,0.28,33.1,0.0,66.1,0.0,16.4,-4237.84,160.00,8757,LEFT
212,THRESH,left,-25.3473,-26.8731,0.30,33.1,0.0,66.2,0.0,16.0,-3895.56,160.00,9125,LEFT
213,THRESH,left,-31.3454,-28.6620,0.24,33.1,0.0,66.1,0.0,15.7,-4855.26,160.00,9122,LEFT
214,THRESH,left,0.9609,-16.8129,80.35,52.6,0.0,0.0,100.0,15.3,313.74,160.00,280,RIGHT
215,THRESH,left,0.9216,-9.7191,80.40,52.7,0.0,0.0,100.0,17.6,307.45,160.00,1129,RIGHT
216,THRESH,left,0.8680,-5.4843,76.19,51.6,0.0,0.0,100.0,19.0,298.88,160.00,2219,RIGHT
217,THRESH,left,0.8739,-2.9410,74.72,51.3,0.0,0.0,100.0,19.8,299.82,160.00,1911,RIGHT
218,THRESH,left,0.9511,-1.3842,80.32,52.6,0.0,0.0,100.0,20.7,312.18,160.00,421,RIGHT
219,THRESH,left,-28.7066,-12.3131,0.27,33.1,0.0,66.1,0.0,22.3,-4433.05,160.00,8980,LEFT
220,THRESH,left,-35.9744,-21.7776,0.21,33.1,0.0,66.1,0.0,21.3,-5595.91,160.00,9075,LEFT
221,THRESH,left,-28.7592,-24.5703,0.27,33.1,0.0,66.1,0.0,20.4,-4441.47,160.00,9201,LEFT
222,THRESH,left,-28.7323,-26.2351,0.26,33.1,0.0,66.1,0.0,19.6,-4437.18,160.00,9364,LEFT
223,THRESH,left,-34.4969,-29.5398,0.22,33.1,0.0,66.1,0.0,18.9,-5359.51,160.00,8987,LEFT
224,THRESH,left,-31.8574,-30.4668,0.24,33.1,0.0,66.1,0.0,18.2,-4937.18,160.00,8814,LEFT
