frame,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps
151,left,-1.7924,-1.8070,-11.03,33.7,0.0,67.4,0.0,48.1
152,left,-1.7924,-1.8026,-11.03,33.7,0.0,67.4,0.0,48.1
153,left,-1.8186,-1.8074,-10.91,33.6,0.0,67.3,0.0,48.0
154,left,-1.8620,-1.8238,-11.22,33.7,0.0,67.5,0.0,48.2
155,left,-1.8620,-1.8352,-11.22,33.7,0.0,67.5,0.0,48.4
156,left,-1.8359,-1.8354,-11.60,33.9,0.0,67.7,0.0,48.4
157,left,-1.9939,-1.8830,-10.61,33.5,0.0,67.1,0.0,48.7
158,left,-1.9939,-1.9163,-10.61,33.5,0.0,67.1,0.0,48.9
159,left,-2.4162,-2.0663,-8.26,32.8,0.0,65.5,0.0,49.1
160,left,-1.9154,-2.0210,-11.54,33.8,0.0,67.7,0.0,48.7
161,left,-1.9154,-1.9893,-11.54,33.8,0.0,67.7,0.0,48.7
162,left,-1.4734,-1.8345,-18.54,36.2,0.0,62.1,10.2,48.8
163,left,-1.4734,-1.7262,-18.54,36.2,0.0,68.7,3.6,49.0
164,left,-1.3310,-1.6076,-23.32,37.8,0.0,64.5,11.0,49.3
165,left,-1.1770,-1.4784,-31.69,40.6,0.0,61.5,19.6,49.6
166,left,-1.1770,-1.3880,-31.69,40.6,0.0,68.2,12.9,49.9
167,left,-1.1034,-1.3026,-39.84,43.3,0.0,70.7,15.9,50.1
168,left,-1.0566,-1.2288,-46.99,45.7,0.0,74.6,16.7,50.4
169,left,-1.0566,-1.1772,-46.99,45.7,0.0,78.9,12.5,50.7
170,left,-1.0203,-1.1301,-54.05,48.0,0.0,82.3,13.7,51.0
171,left,-1.0203,-1.0972,-54.05,48.0,0.0,85.5,10.5,51.2
172,left,-1.0277,-1.0763,-56.57,48.9,0.0,89.7,8.0,51.3
173,left,-1.0152,-1.0580,-60.24,50.1,0.0,93.0,7.2,50.5
174,left,-1.0152,-1.0452,-60.24,50.1,0.0,93.0,7.1,50.9
175,left,-1.0146,-1.0360,-66.62,52.2,0.0,97.8,6.6,51.2
176,left,-1.0146,-1.0296,-66.62,52.2,0.0,98.5,5.9,51.5
177,left,-1.0506,-1.0359,-66.48,52.2,0.0,100.0,1.4,51.4
178,left,-1.0891,-1.0518,-67.01,52.3,0.0,100.0,0.0,51.4
179,left,-1.0891,-1.0630,-67.01,52.3,0.0,100.0,0.0,51.8
180,left,-0.5845,-0.9195,48.48,46.2,0.0,42.4,49.9,52.1
181,left,-0.3839,-0.7588,31.71,40.6,0.0,33.6,47.6,51.3
182,left,-0.3839,-0.6463,31.71,40.6,0.0,35.3,45.8,51.5
