epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,714.992,0.70238,0.45095,0.67552,0.98585,0.80526,0.99261,0.96084,0.82319,0.80526,0.99261,0.96084,0.85487,0.49328,0.12568,0.76973,0.70612,0.0012179,0.0012179,0.0012179
81,724.414,0.75546,0.38713,0.81254,1.04189,0.77081,0.96,0.93713,0.78543,0.77081,0.96,0.93713,0.82683,0.59431,0.1293,0.6263,0.73874,0.001208,0.001208,0.001208
82,732.511,0.69475,0.37443,0.93506,0.96701,0.88479,0.96,0.97357,0.83874,0.88479,0.96,0.97357,0.8702,0.59327,0.13223,1.59866,0.76305,0.0011981,0.0011981,0.0011981
83,741.957,0.69916,0.48388,0.88796,0.9843,0.83883,0.96,0.96183,0.84304,0.84725,0.96,0.95987,0.87265,0.55293,0.11605,0.69325,0.7551,0.0011882,0.0011882,0.0011882
84,751.635,0.69198,0.40877,0.77373,0.97527,0.86994,0.84,0.92228,0.74989,0.86994,0.84,0.91545,0.8016,0.61932,0.1365,1.6383,0.79688,0.0011783,0.0011783,0.0011783
85,759.847,0.70345,0.45306,0.90294,0.99519,0.95823,0.91764,0.96477,0.81322,0.94692,0.88,0.94103,0.83295,0.57886,0.15165,0.55123,0.72559,0.0011684,0.0011684,0.0011684
86,769.414,0.66536,0.42439,0.69504,0.97507,0.97731,0.88,0.97363,0.82144,1,0.83554,0.93296,0.81828,0.51187,0.16416,0.70234,0.71096,0.0011585,0.0011585,0.0011585
87,778.832,0.70381,0.44973,0.73575,0.98528,0.7569,0.92,0.88939,0.77701,0.7569,0.92,0.88939,0.79253,0.45433,0.13188,2.63824,0.68145,0.0011486,0.0011486,0.0011486
88,786.958,0.64055,0.42583,0.75112,0.97053,0.98067,0.92,0.96682,0.82167,0.98067,0.92,0.96682,0.87644,0.5021,0.11741,1.20418,0.69713,0.0011387,0.0011387,0.0011387
89,796.529,0.69261,0.38494,0.66506,0.99242,0.97989,0.88,0.96849,0.79696,0.97989,0.88,0.96635,0.85636,0.56636,0.1342,0.84849,0.70084,0.0011288,0.0011288,0.0011288
